system   I             system.c:245  al_install_system                [   0.00365] Allegro version: 5.1.12 (WIP)
display  D   display_settings.c:202  debug_display_settings           [   0.17582] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17589] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17607] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17615] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17620] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17627] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17632] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17639] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17644] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17651] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.17656] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.17663] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1670 d3d_create_display_internals     [   0.17673] Trying format 0.
d3d      I         d3d_disp.cpp:1346 d3d_display_thread_proc          [   0.17734] Chose a display format: 23
d3d      I         d3d_disp.cpp:1415 d3d_display_thread_proc          [   0.17743] Normal window.
d3d      I         d3d_disp.cpp:779  d3d_create_device                [   0.22712] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:837  d3d_create_device                [   0.24576] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:845  d3d_create_device                [   0.24587] Success
d3d      D         d3d_disp.cpp:1693 d3d_create_display_internals     [   0.24599] Resumed after wait.
d3d      I         d3d_disp.cpp:1726 d3d_create_display_internals     [   0.24617] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1757 d3d_create_display_internals     [   0.24630] Returning d3d_display: 00C1D5D8
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.24636] al_display=00C1D5D8
d3d      D         d3d_disp.cpp:1783 d3d_create_display_locked        [   0.24642] al_display->vt=00C1FB28
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.24789] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D            wsystem.c:635  load_library_at_path             [   0.24797] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I            wsystem.c:638  load_library_at_path             [   0.25018] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.25033] Module "d3dx9_43.dll" loaded.
font     D                ttf.c:847  al_load_ttf_font_stretch_f       [   0.25719] Font fonty/arial.ttf loaded with pixel size 0 x 18.
font     D                ttf.c:849  al_load_ttf_font_stretch_f       [   0.25730]     ascent=16.0, descent=-4.0, height=21.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.25740] added dtor for object 00C2BE80, func 50191AA0
font     D                ttf.c:847  al_load_ttf_font_stretch_f       [   0.25826] Font fonty/SFSportsNight.ttf loaded with pixel size 0 x 60.
font     D                ttf.c:849  al_load_ttf_font_stretch_f       [   0.25834]     ascent=40.0, descent=-7.0, height=47.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.25842] added dtor for object 00C2C3C0, func 50191AA0
font     D                ttf.c:847  al_load_ttf_font_stretch_f       [   0.25939] Font fonty/octin stencil rg.ttf loaded with pixel size 0 x 36.
font     D                ttf.c:849  al_load_ttf_font_stretch_f       [   0.25948]     ascent=34.0, descent=-9.0, height=43.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.25956] added dtor for object 00C2C0C0, func 50191AA0
font     D                ttf.c:847  al_load_ttf_font_stretch_f       [   0.26064] Font fonty/arial.ttf loaded with pixel size 0 x 36.
font     D                ttf.c:849  al_load_ttf_font_stretch_f       [   0.26073]     ascent=33.0, descent=-8.0, height=41.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.26080] added dtor for object 00C2C180, func 50191AA0
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.26141] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.26148] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.26154] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.26159] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.26164] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.26168] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.26173] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.26178] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.26183] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.26188] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.26192] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.26198] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.26203] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.26258] added dtor for object 02EE46C8, func 501941E2
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.26331] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.26339] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.27079] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.27088] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.27093] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.27099] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.27104] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.27109] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.27114] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.27119] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.27126] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.27131] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.27136] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.27142] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.27147] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.27201] added dtor for object 02EE2C18, func 501941E2
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.27225] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.27232] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.27570] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.27577] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.27584] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.27590] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.27595] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.27600] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.27605] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.27610] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.27615] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.27620] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.27626] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.27632] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.27637] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.27664] added dtor for object 02F06E70, func 501941E2
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.27683] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.27690] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.27887] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.27895] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.27900] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.27905] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.27911] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.27916] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.27921] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.27926] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.27931] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.27936] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.27942] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.27947] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.27953] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.27984] added dtor for object 02EE2A88, func 501941E2
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.28002] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.28010] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.28184] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.28191] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.28196] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.28201] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.28205] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.28210] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.28215] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.28220] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.28225] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.28229] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.28235] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.28241] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.28246] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.28273] added dtor for object 02EE4228, func 501941E2
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.28289] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.28296] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.28546] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.28554] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.28559] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.28564] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.28571] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.28577] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.28583] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.28588] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.28594] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.28600] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.28606] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.28612] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.28618] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.28648] added dtor for object 05C81750, func 501941E2
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.28666] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.28674] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.28813] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.28835] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.28855] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.28862] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.28868] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.28873] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.28878] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.28883] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.28888] Fake format
